"Qty";"Value";"Device";"Package";"Parts";"Description";"COPYRIGHT";"MF";"MPN";"PCBLABEL";
"1";"H1-H5-INBOARD-CSK-BUS-CONN";"H1-H5-INBOARD-CSK-BUS-CONN";"CONN-2X26X0.1-HDR";"GBUS-TOP1:H1";"H1/H5/Inboard Cubesat Kit Bus Connector";"";"SAMTEC";"ESQ-126-37-G-D";"H1";
"1";"H2-H6-OUTBOARD-CSK-BUS-CONN";"H2-H6-OUTBOARD-CSK-BUS-CONN";"CONN-2X26X0.1-HDR";"GBUS-TOP1:H2";"";"";"SAMTEC";"ESQ-126-37-G-D";"H2";
"1";"HIROSE-FH40-60S-0.5SV";"HIROSE-FH40-60S-0.5SV";"HIROSE-FH40-60S-0.5SV";"GBUS-TOP1:G1";"";"";"HIROSE/HRS";"FH40-60S-0.5SV";"G1";
"1";"HIROSE-FH40-60S-0.5SV";"HIROSE-FH40-60S-0.5SV";"HIROSE-FH40-60S-0.5SV";"GBUS-TOP1:G2";"";"";"HIROSE/HRS";"FH40-60S-0.5SV";"G2";
"1";"MCAT-4CU-C-PCB/BOTTOM";"MCAT-4CU-C-PCB/BOTTOM";"MCAT-4CU-C-BOTTOM-V4-BLANK";"B1";"";"(c) 2015, THE GEORGE WASHINGTON UNIVERSITY";"";"";"BOTTOM";
"4";"SMTRAM2-6-5";"SMTRAM2-6-5";"SMTRA-M2-6-5";"F4, F5, F6, F7";"Type SMTRA - ReelFast Surface Mount Right Angle (R'ANGLE) Fastener (Metric)";"";"Penn Engineering";"SMTRAM2-6-5-DT";"";
