Partlist

Exported from MCAT-CANYVAL-BPL-5X.sch at 2/24/2015 10:20:09 AM

EAGLE Version 7.2.0 Copyright (c) 1988-2014 CadSoft

Assembly variant: 

Part           Value                     Device                    Package                                Library           Sheet
PD-V2L1-1:R34  0.1R                      R-US_R1206                R1206                                  rcl               PD-V2L1:1
PD-V2L1-1:U3   LT1161ISW                 LT1161ISW                 20-LEAD-PLASTIC-SO                     gwu_mpnl_ucat_v10 PD-V2L1:1
PD-V2L1-1:U4   LT1161ISW                 LT1161ISW                 20-LEAD-PLASTIC-SO                     gwu_mpnl_ucat_v10 PD-V2L1:1
PPU-V8C1-1:BC1 BYPASS-CAP-0.1UF          BYPASS-CAP-0.1UF          0612-REV                               gwu_mpnl_ucat_v10 PPU-V8C1:1
PPU-V8C1-1:BC2 BYPASS-CAP-1UF            BYPASS-CAP-1UF            0612-REV                               gwu_mpnl_ucat_v10 PPU-V8C1:1
PPU-V8C1-1:BC3 BYPASS-CAP-0.1UF          BYPASS-CAP-0.1UF          0612-REV                               gwu_mpnl_ucat_v10 PPU-V8C1:1
PPU-V8C1-1:BC4 BYPASS-CAP-1UF            BYPASS-CAP-1UF            0612-REV                               gwu_mpnl_ucat_v10 PPU-V8C1:1
PPU-V8C1-1:C1  680uF/20WV                APSG200ELL681MJB5S        CHEMI-CON-PSG-JB5                      samudra_ucat_v9   PPU-V8C1:1
PPU-V8C1-1:CT1 MURATA-5600-CURR-XFR/RA   MURATA-5600-CURR-XFR/RA   MURATA-5600-SERIES-CURR-XFR-RA         gwu_mpnl_ucat_v10 PPU-V8C1:1
PPU-V8C1-1:L1  PPUV8-INDUCTOR-V2         PPUV8-INDUCTOR-V2         PPUV8-INDUCTOR-V2                      gwu_mpnl_ucat_v10 PPU-V8C1:1
PPU-V8C1-1:Q11 IXYH30N120C3D1            IXYH30N120C3D1/V          IXYS-TO-247-AD-VERT                    gwu_mpnl_ucat_v10 PPU-V8C1:1
PPU-V8C1-1:R1  15R                       R-US_R1210                R1210                                  rcl               PPU-V8C1:1
PPU-V8C1-1:R2  1K                        R-US_R0805                R0805                                  rcl               PPU-V8C1:1
PPU-V8C1-1:SJ1 0R                        SJ                        SJ                                     jumper            PPU-V8C1:1
PPU-V8C1-1:T1  MCAT-SPADE-TERMINAL       MCAT-SPADE-TERMINAL       SPADE-TERMINAL-FLANGED-NYLON-INSULATED gwu_mpnl_ucat_v10 PPU-V8C1:1
PPU-V8C1-1:TP1 PCB-MINI-SMD-TESTPOINT/SQ PCB-MINI-SMD-TESTPOINT/SQ PCB-MINI-SMD-TESTPOINT                 gwu_mpnl_ucat_v10 PPU-V8C1:1
PPU-V8C1-1:TP2 PCB-MINI-SMD-TESTPOINT/SQ PCB-MINI-SMD-TESTPOINT/SQ PCB-MINI-SMD-TESTPOINT                 gwu_mpnl_ucat_v10 PPU-V8C1:1
PPU-V8C1-1:TP3 PCB-MINI-SMD-TESTPOINT/SQ PCB-MINI-SMD-TESTPOINT/SQ PCB-MINI-SMD-TESTPOINT                 gwu_mpnl_ucat_v10 PPU-V8C1:1
PPU-V8C1-1:U$1 IXDN604/SI                IXDN604/SI                IXYS-SI-8PIN-POWER-SOIC                gwu_mpnl_ucat_v10 PPU-V8C1:1
PPU-V8C1-3:BC1 BYPASS-CAP-0.1UF          BYPASS-CAP-0.1UF          0612-REV                               gwu_mpnl_ucat_v10 PPU-V8C1:1
PPU-V8C1-3:BC2 BYPASS-CAP-1UF            BYPASS-CAP-1UF            0612-REV                               gwu_mpnl_ucat_v10 PPU-V8C1:1
PPU-V8C1-3:BC3 BYPASS-CAP-0.1UF          BYPASS-CAP-0.1UF          0612-REV                               gwu_mpnl_ucat_v10 PPU-V8C1:1
PPU-V8C1-3:BC4 BYPASS-CAP-1UF            BYPASS-CAP-1UF            0612-REV                               gwu_mpnl_ucat_v10 PPU-V8C1:1
PPU-V8C1-3:C1  680uF/20WV                APSG200ELL681MJB5S        CHEMI-CON-PSG-JB5                      samudra_ucat_v9   PPU-V8C1:1
PPU-V8C1-3:CT1 MURATA-5600-CURR-XFR/RA   MURATA-5600-CURR-XFR/RA   MURATA-5600-SERIES-CURR-XFR-RA         gwu_mpnl_ucat_v10 PPU-V8C1:1
